Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,123.519997,123.800003,123.059998,123.660004,120.083488,1539557
2020-02-11,124.540001,125.820000,124.000000,125.360001,121.734314,1896258
2020-02-12,125.099998,127.099998,125.059998,126.820000,123.152092,1859593
2020-02-13,126.620003,126.900002,124.019997,126.800003,123.132668,2102326
2020-02-14,126.699997,127.139999,125.940002,127.139999,123.462837,1536676
2020-02-17,127.500000,127.800003,126.739998,127.400002,123.715317,1038671
2020-02-18,126.500000,127.580002,126.120003,127.320000,123.637627,1873726
2020-02-19,127.760002,129.600006,127.059998,129.440002,125.696312,1916597
2020-02-20,129.580002,129.580002,127.800003,127.800003,124.103752,2041776
2020-02-21,127.239998,128.360001,125.360001,126.160004,122.511185,2835348
2020-02-24,122.120003,123.160004,120.180000,121.239998,117.733475,4286988
2020-02-25,122.120003,122.800003,118.519997,119.279999,115.830162,3551834
2020-02-26,118.400002,119.639999,113.599998,118.760002,115.325203,5132531
2020-02-27,115.760002,117.139999,113.279999,115.540001,112.198326,5574865
2020-02-28,111.260002,112.500000,109.300003,111.559998,108.333435,9255786
2020-03-02,113.000000,114.879997,109.080002,111.000000,107.789642,5680000
2020-03-03,110.099998,115.680000,110.099998,112.940002,109.673531,5522488
2020-03-04,112.040001,113.839996,110.900002,111.500000,108.275177,4369159
2020-03-05,112.000000,112.300003,109.099998,110.239998,107.051620,4206723
2020-03-06,107.500000,108.559998,105.040001,107.519997,104.410286,6048024
2020-03-09,100.000000,102.099998,97.470001,98.940002,96.078438,10766037
2020-03-10,100.419998,104.500000,99.889999,100.660004,97.748695,10148677
2020-03-11,101.239998,102.720001,100.000000,100.639999,97.729271,6450756
2020-03-12,95.209999,97.029999,90.589996,90.900002,88.270973,13618787
2020-03-13,93.379997,99.269997,90.220001,92.669998,89.989784,10929316
2020-03-16,86.519997,92.660004,82.129997,89.760002,87.163940,13189466
2020-03-17,92.500000,95.209999,86.650002,92.360001,89.688751,9619836
2020-03-18,89.389999,90.139999,85.660004,89.070000,86.493904,7020653
2020-03-19,88.199997,90.690002,84.019997,87.629997,85.095543,8012428
2020-03-20,91.650002,94.519997,89.000000,91.260002,88.620560,10777435
2020-03-23,86.809998,95.760002,86.220001,92.139999,89.475113,6887871
2020-03-24,97.099998,99.320000,95.099998,99.320000,96.447449,6617752
2020-03-25,102.139999,102.580002,94.720001,99.000000,96.136703,5773778
2020-03-26,96.550003,103.959999,96.500000,103.959999,100.953247,5820230
2020-03-27,102.220001,104.040001,98.849998,99.870003,96.981544,4245574
2020-03-30,101.019997,102.180000,99.199997,102.180000,99.224731,3078636
2020-03-31,104.080002,104.519997,100.300003,102.800003,99.826805,3898272
2020-04-01,99.500000,100.660004,97.220001,98.099998,95.262726,4154922
2020-04-02,98.459999,98.690002,95.059998,97.230003,94.417900,4141403
2020-04-03,96.550003,97.839996,96.199997,97.349998,94.534424,2925187
2020-04-06,100.699997,102.320000,99.500000,101.400002,98.467293,3345981
2020-04-07,104.860001,105.599998,102.320000,103.680000,100.681343,3640581
2020-04-08,104.099998,105.239998,103.279999,105.000000,101.963165,2903942
2020-04-09,107.500000,111.260002,105.959999,110.000000,106.818558,5230324
2020-04-14,112.599998,114.860001,112.000000,112.000000,108.760712,4216307
2020-04-15,111.500000,111.620003,106.820000,108.300003,105.167732,4296678
2020-04-16,110.099998,111.059998,109.080002,110.099998,106.915665,2778777
2020-04-17,113.019997,114.279999,112.160004,113.059998,109.790054,4543809
2020-04-20,113.980003,114.199997,110.279999,113.739998,110.450386,2405989
2020-04-21,110.500000,111.379997,105.559998,106.279999,103.206154,4127784
2020-04-22,108.699997,109.300003,107.300003,108.239998,105.109459,2932900
2020-04-23,108.260002,109.320000,106.120003,108.120003,104.992935,2889458
2020-04-24,106.220001,108.059998,105.139999,106.680000,103.594582,2890515
2020-04-27,109.000000,109.500000,107.160004,107.800003,104.682190,2106179
2020-04-28,107.660004,110.120003,107.599998,108.839996,105.692108,3037613
2020-04-29,109.000000,109.900002,107.180000,109.800003,106.624352,2539753
2020-04-30,110.839996,111.800003,108.080002,108.940002,105.789223,4692164
2020-05-04,106.199997,107.279999,105.279999,106.879997,103.788795,4430812
2020-05-05,107.660004,108.559998,105.459999,108.440002,105.303680,3028444
2020-05-06,107.900002,108.400002,104.839996,105.300003,102.254494,3919584
2020-05-07,105.940002,108.540001,105.620003,107.339996,104.235489,3719688
2020-05-08,108.040001,108.320000,106.940002,107.739998,104.623924,2425684
2020-05-11,107.860001,107.900002,105.339996,106.639999,103.555740,2215143
2020-05-12,106.080002,107.540001,105.760002,106.860001,103.769379,2297826
2020-05-13,106.980003,107.720001,105.480003,106.000000,102.934250,2953879
2020-05-14,104.419998,105.279999,101.800003,103.900002,100.894989,3940796
2020-05-15,104.860001,105.480003,103.320000,103.739998,100.739609,3448264
2020-05-18,106.220001,108.239998,105.779999,107.360001,104.254913,3136204
2020-05-19,108.459999,109.199997,106.779999,108.080002,104.954094,3456418
2020-05-20,107.779999,110.540001,107.540001,110.199997,107.012772,2928298
2020-05-21,108.360001,108.360001,106.400002,106.779999,105.199997,2160165
2020-05-22,104.860001,106.779999,104.559998,106.379997,106.379997,2466986
2020-05-25,107.500000,111.760002,107.320000,111.599998,111.599998,2617792
2020-05-26,113.400002,113.540001,110.599998,110.980003,110.980003,2903668
2020-05-27,111.160004,112.940002,110.660004,111.839996,111.839996,3238084
2020-05-28,111.900002,113.260002,110.860001,112.599998,112.599998,2724151
2020-05-29,111.800003,115.279999,111.220001,113.500000,113.500000,8886659
2020-06-02,116.900002,117.000000,112.860001,115.940002,115.940002,4767770
2020-06-03,117.000000,119.400002,116.019997,119.040001,119.040001,4160300
2020-06-04,118.580002,120.599998,118.019997,119.599998,119.599998,3330477
2020-06-05,120.199997,121.379997,118.120003,121.139999,121.139999,4454407
2020-06-08,120.620003,120.959999,118.419998,120.220001,120.220001,2824410
2020-06-09,120.480003,121.760002,119.739998,120.680000,120.680000,3690623
2020-06-10,121.400002,122.379997,119.940002,120.459999,120.459999,2326294
2020-06-11,118.559998,119.860001,116.379997,116.379997,116.379997,3438234
2020-06-12,115.300003,118.080002,113.839996,115.300003,115.300003,3261941
2020-06-15,112.599998,115.099998,111.680000,114.360001,114.360001,2819896
2020-06-16,116.000000,119.820000,115.300003,118.820000,118.820000,3929508
2020-06-17,118.480003,120.739998,117.540001,120.239998,120.239998,3340030
2020-06-18,120.300003,122.339996,119.360001,120.400002,120.400002,3548641
2020-06-19,121.599998,124.760002,120.919998,123.480003,123.480003,11148444
2020-06-22,121.980003,125.480003,121.519997,124.019997,124.019997,2872553
2020-06-23,125.599998,127.779999,124.980003,125.500000,125.500000,3193594
2020-06-24,124.139999,124.580002,120.099998,120.099998,120.099998,3178092
2020-06-25,119.839996,121.779999,118.120003,120.800003,120.800003,2709382
2020-06-26,122.000000,125.059998,121.360001,122.120003,122.120003,2213330
2020-06-29,122.320000,123.400002,121.459999,122.440002,122.440002,2611429
