Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,9.052000,9.118000,8.912000,8.960000,8.656378,1333094
2020-02-11,8.972000,9.032000,8.810000,9.028000,8.722074,1872310
2020-02-12,9.032000,9.308000,9.000000,9.122000,8.812888,1831743
2020-02-13,9.082000,9.172000,8.780000,9.042000,8.735600,2026854
2020-02-14,9.030000,9.116000,8.876000,8.896000,8.594547,1475322
2020-02-17,8.986000,9.020000,8.858000,8.920000,8.617733,993191
2020-02-18,8.850000,8.886000,8.630000,8.758000,8.461224,1484681
2020-02-19,8.810000,8.900000,8.672000,8.812000,8.513393,1157810
2020-02-20,8.662000,8.818000,8.478000,8.758000,8.461224,1717407
2020-02-21,8.682000,8.764000,8.532000,8.576000,8.285391,1583268
2020-02-24,8.400000,8.400000,7.990000,8.136000,7.860300,4030614
2020-02-25,8.198000,8.198000,7.908000,7.924000,7.655484,2047914
2020-02-26,7.840000,8.040000,7.634000,8.008000,7.736639,2553817
2020-02-27,7.764000,7.784000,7.458000,7.556000,7.299955,3443386
2020-02-28,7.200000,7.400000,7.118000,7.390000,7.139580,3069530
2020-03-02,7.510000,7.540000,7.008000,7.160000,6.917374,2076083
2020-03-03,7.400000,7.454000,7.146000,7.154000,6.911577,2583988
2020-03-04,7.252000,7.316000,7.030000,7.054000,6.814965,1765415
2020-03-05,7.150000,7.172000,6.634000,6.700000,6.472961,3944883
2020-03-06,6.600000,6.620000,6.222000,6.348000,6.132889,3306236
2020-03-09,6.100000,6.100000,5.738000,5.740000,5.545492,4775927
2020-03-10,5.870000,6.350000,5.766000,5.830000,5.632442,4310192
2020-03-11,5.962000,6.930000,5.960000,6.650000,6.424656,5458429
2020-03-12,6.342000,6.440000,5.070000,5.260000,5.081758,5085394
2020-03-13,6.000000,6.000000,5.240000,5.282000,5.103013,3335115
2020-03-16,5.050000,5.412000,4.498000,5.226000,5.048910,4423357
2020-03-17,5.460000,5.624000,4.750000,5.606000,5.416033,3360560
2020-03-18,5.268000,6.800000,5.268000,6.220000,6.009226,5044426
2020-03-19,6.112000,6.538000,5.460000,5.618000,5.427626,2933311
2020-03-20,5.880000,6.158000,5.460000,5.518000,5.331015,6157006
2020-03-23,5.404000,5.660000,5.136000,5.220000,5.043113,2207398
2020-03-24,5.448000,5.842000,5.332000,5.842000,5.644036,2870817
2020-03-25,5.950000,6.300000,5.580000,5.738000,5.543560,2106205
2020-03-26,5.600000,5.842000,5.518000,5.780000,5.584137,1606528
2020-03-27,5.780000,5.790000,5.366000,5.410000,5.226675,1942724
2020-03-30,5.462000,5.518000,5.276000,5.414000,5.230539,976752
2020-03-31,5.490000,5.640000,5.174000,5.308000,5.128131,2211872
2020-04-01,5.150000,5.400000,5.088000,5.202000,5.025723,1463916
